seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,source_family,analysis_cohort,env_reward,mechanism,mechanism_param_name,mechanism_param_value,config_key,alpha,beta
7,DQN_Entropy,0.001,0.95,10.420000076293944,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.420000076293944,250.20022150999284,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.01,0.01,
8,DQN_Entropy,0.001,0.95,9.609999656677246,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.609999656677246,250.50351883399708,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.01,0.01,
9,DQN_Entropy,0.001,0.95,19.270000457763672,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,19.270000457763672,250.35050358499572,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.01,0.01,
0,DQN_Entropy,0.001,0.95,9.469999313354492,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1126.141944248,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
1,DQN_Entropy,0.001,0.95,9.329999923706056,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.329999923706056,1121.787751025001,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
2,DQN_Entropy,0.001,0.95,9.369999885559082,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.369999885559082,280.2332310980128,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
3,DQN_Entropy,0.001,0.95,9.40999984741211,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.40999984741211,265.4196071780025,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
4,DQN_Entropy,0.001,0.95,10.199999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.199999809265137,264.9019093359966,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
5,DQN_Entropy,0.001,0.95,9.710000038146973,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.710000038146973,272.944439865998,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
6,DQN_Entropy,0.001,0.95,9.300000190734863,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.300000190734863,248.16799216800428,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
7,DQN_Entropy,0.001,0.95,10.800000190734863,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.800000190734863,248.7159626770008,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
8,DQN_Entropy,0.001,0.95,9.6899995803833,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.6899995803833,249.09767128099335,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
9,DQN_Entropy,0.001,0.95,18.76000022888184,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,18.76000022888184,248.92608159099476,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,0.05,
0,DQN_Entropy,0.001,0.99,9.429999351501465,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.429999351501465,1141.229238923,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
1,DQN_Entropy,0.001,0.99,9.329999923706056,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.329999923706056,1130.3570110280002,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
2,DQN_Entropy,0.001,0.99,10.469999313354492,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.469999313354492,285.4159779659967,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
3,DQN_Entropy,0.001,0.99,9.40999984741211,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.40999984741211,265.21260875300504,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
4,DQN_Entropy,0.001,0.99,11.050000190734863,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,11.050000190734863,265.60922199899505,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
5,DQN_Entropy,0.001,0.99,12.420000076293944,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,12.420000076293944,277.5478829960048,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
6,DQN_Entropy,0.001,0.99,9.300000190734863,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.300000190734863,255.33518741799344,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
7,DQN_Entropy,0.001,0.99,18.529998779296875,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,18.529998779296875,255.4546750790032,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
8,DQN_Entropy,0.001,0.99,9.609999656677246,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.609999656677246,256.3234032659966,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
9,DQN_Entropy,0.001,0.99,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,255.60309605499788,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,0.01,
0,DQN_Entropy,0.001,0.99,9.469999313354492,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1130.559625779,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
1,DQN_Entropy,0.001,0.99,9.329999923706056,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.329999923706056,1122.4638311159997,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
2,DQN_Entropy,0.001,0.99,10.949999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.949999809265137,272.12099084099464,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
3,DQN_Entropy,0.001,0.99,9.40999984741211,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.40999984741211,256.9617994430009,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
4,DQN_Entropy,0.001,0.99,11.199999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,11.199999809265137,256.81522831099574,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
5,DQN_Entropy,0.001,0.99,10.119999885559082,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.119999885559082,265.1340204480075,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
6,DQN_Entropy,0.001,0.99,9.300000190734863,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.300000190734863,268.74319977799314,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
7,DQN_Entropy,0.001,0.99,25.920000076293945,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,25.920000076293945,268.4264422569977,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
8,DQN_Entropy,0.001,0.99,9.859999656677246,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.859999656677246,268.03197512900806,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
9,DQN_Entropy,0.001,0.99,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,267.539918591996,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,0.05,
0,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1362.373312674,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
1,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1380.4406876250005,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
2,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,308.2933487120026,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
3,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,277.9363293320057,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
4,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,275.8317125009926,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
