episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,0.0,12,1.0,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
2,0.0,19,0.9968333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
3,0.0,27,0.9936666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
4,0.0,23,0.9905,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
5,0.0,14,0.9873333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
6,0.0,26,0.9841666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
7,0.0,43,0.981,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
8,0.0,57,0.9778333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
9,0.0,21,0.9746666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
10,0.0,13,0.9715,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
11,0.0,13,0.9683333333333334,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
12,0.0,15,0.9651666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
13,0.0,15,0.962,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
14,0.0,8,0.9588333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
15,0.0,49,0.9556666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
16,0.0,32,0.9525,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
17,0.0,18,0.9493333333333334,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
18,0.0,16,0.9461666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
19,0.0,13,0.9430000000000001,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
20,0.0,21,0.9398333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
21,0.0,27,0.9366666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
22,0.0,25,0.9335,0.0004053569573443383,0.009412416256964207,0.024225568398833275,0.596403181552887,0.19382444024085999,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
23,0.0,35,0.9303333333333333,6.85081904521212e-05,0.047340597957372665,0.009209800511598587,0.5995025038719177,0.22279125452041626,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
24,0.0,17,0.9271666666666667,4.19424322899431e-05,0.0363980233669281,0.006492353044450283,0.5995025038719177,0.22279125452041626,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
25,0.0,11,0.924,9.178998880088329e-05,0.03162404149770737,0.008766516111791134,0.5995025038719177,0.22279125452041626,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
26,0.0,16,0.9208333333333334,7.642550917807966e-05,0.029521100223064423,0.007937125861644745,0.5902457237243652,0.2072950303554535,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
27,0.0,12,0.9176666666666666,7.343367178691551e-05,0.031036382541060448,0.008475354872643948,0.5902457237243652,0.2072950303554535,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
28,0.0,20,0.9145,5.8403740695212036e-05,0.039997398853302,0.005801879335194826,0.5902457237243652,0.2072950303554535,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
29,0.0,14,0.9113333333333333,4.150268068769947e-05,0.03745536506175995,0.005481296218931675,0.5958220362663269,0.24927768111228943,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
30,0.0,26,0.9081666666666667,5.551912181545049e-05,0.04331152141094208,0.006258174777030945,0.5958220362663269,0.24927768111228943,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
31,0.0,15,0.905,2.3239867005031556e-05,0.034841153770685196,0.004459621850401163,0.5977188348770142,0.21231745183467865,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
32,0.0,18,0.9018333333333334,3.4476848668418825e-05,0.0343366339802742,0.004141520243138075,0.5977188348770142,0.21231745183467865,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
33,0.0,15,0.8986666666666667,1.631581471883692e-05,0.03977248817682266,0.0033011671621352434,0.5819823145866394,0.1937723159790039,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
34,0.0,21,0.8955,1.0421137631055899e-05,0.03288624435663223,0.0029722782783210278,0.5819823145866394,0.1937723159790039,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
35,0.0,10,0.8923333333333333,5.860425881110132e-05,0.04019222408533096,0.004713842645287514,0.5819823145866394,0.1937723159790039,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
36,0.0,18,0.8891666666666667,2.49746681220131e-05,0.03882399946451187,0.004250013269484043,0.5860646963119507,0.19244924187660217,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
37,0.0,27,0.886,2.2734642698196694e-05,0.03953839838504791,0.0036880020052194595,0.587546169757843,0.21859702467918396,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
38,0.0,14,0.8828333333333334,6.393461262632627e-06,0.030886881053447723,0.002675845520570874,0.587546169757843,0.21859702467918396,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
39,0.0,14,0.8796666666666667,1.3512502846424468e-05,0.0323018804192543,0.0034081556368619204,0.587546169757843,0.21859702467918396,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
40,0.0,18,0.8765000000000001,9.775571925274562e-06,0.0312928706407547,0.00263033714145422,0.5890918374061584,0.20354095101356506,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
41,0.0,16,0.8733333333333333,1.0358142390032299e-05,0.033438146114349365,0.0027787622530013323,0.5890918374061584,0.20354095101356506,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
42,0.0,13,0.8701666666666666,4.8328125558327883e-05,0.0394449308514595,0.004525850526988506,0.5890918374061584,0.20354095101356506,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
43,0.0,17,0.867,9.596399468136951e-05,0.04086499288678169,0.00693070562556386,0.5799972414970398,0.20810505747795105,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
44,0.0,17,0.8638333333333333,1.1017913493560627e-05,0.027550097554922104,0.0024708514101803303,0.5799972414970398,0.20810505747795105,,,,dqn_icm,cartpole,sparse,0.001,0.9,9,0.1
