seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
9,1,-200.0,200,0.9830791354179382,-1.0,0.0003715639759320766,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,2,-200.0,200,0.972719132900238,-1.0,0.00039418949745595455,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,3,-200.0,200,0.9632328748703003,-1.0,0.00036631725379265845,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,4,-200.0,200,0.9856364130973816,-1.0,0.0003910363302566111,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,5,-200.0,200,0.976347029209137,-1.0,0.00037099156179465353,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,6,-200.0,200,0.9865398406982422,-1.0,0.00039549829671159387,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,7,-200.0,200,0.978225588798523,-1.0,0.0003986972151324153,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,8,-200.0,200,0.9702327251434326,-1.0,0.00040541490307077765,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,9,-200.0,200,0.9836264848709106,-1.0,0.0003811070928350091,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,10,-200.0,200,0.9749231338500977,-1.0,0.0004286261973902583,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,11,-200.0,200,0.9806429147720337,-1.0,0.000389650376746431,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,12,-200.0,200,0.9733140468597412,-1.0,0.0003697826177813113,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,13,-200.0,200,0.9653720855712891,-1.0,0.0003816336393356323,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,14,-200.0,200,0.9801982045173645,-1.0,0.00038567197043448687,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,15,-200.0,200,0.9722522497177124,-1.0,0.00039587425999343395,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,16,-200.0,200,0.9782694578170776,-1.0,0.0003648960846476257,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,17,-200.0,200,0.9715292453765869,-1.0,0.0004142445104662329,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,18,-200.0,200,0.9641067981719971,-1.0,0.000404748396249488,0.0,DQN_RND,0.001,0.99,mountaincar,dense
9,19,-200.0,200,0.9760395288467407,-1.0,0.00041443330701440573,0.0,DQN_RND,0.001,0.99,mountaincar,dense
