episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
50,33.0,33,0.8448333333333333,0.0005530337220989168,1.038949728012085,0.02490686997771263,,,10.7,1.0999999999999999,10.7,dqn,cartpole,dense,0.001,0.99,6,
51,14.0,14,0.8416666666666667,0.0007369553204625845,1.0374610424041748,0.026565928012132645,,,,,,dqn,cartpole,dense,0.001,0.99,6,
52,16.0,16,0.8385,0.000559748790692538,1.0360279083251953,0.025797836482524872,,,,,,dqn,cartpole,dense,0.001,0.99,6,
53,22.0,22,0.8353333333333334,0.00028274900978431106,1.0357195138931274,0.020555544644594193,,,,,,dqn,cartpole,dense,0.001,0.99,6,
54,19.0,19,0.8321666666666667,0.0006481233285740018,1.0441532135009766,0.02246107906103134,,,,,,dqn,cartpole,dense,0.001,0.99,6,
55,35.0,35,0.829,0.00037477753357961774,1.0324814319610596,0.022425346076488495,,,,,,dqn,cartpole,dense,0.001,0.99,6,
56,32.0,32,0.8258333333333334,0.00037593208253383636,1.0308218002319336,0.021503210067749023,,,,,,dqn,cartpole,dense,0.001,0.99,6,
57,13.0,13,0.8226666666666667,0.0003017851267941296,1.047364592552185,0.019054414704442024,,,,,,dqn,cartpole,dense,0.001,0.99,6,
58,16.0,16,0.8195,0.0004188749589957297,1.0446141958236694,0.021000975742936134,,,,,,dqn,cartpole,dense,0.001,0.99,6,
59,12.0,12,0.8163333333333334,0.00020074815256521106,1.0348241329193115,0.017535129562020302,,,,,,dqn,cartpole,dense,0.001,0.99,6,
60,11.0,11,0.8131666666666667,0.0004478998016566038,1.0489224195480347,0.020613744854927063,,,,,,dqn,cartpole,dense,0.001,0.99,6,
61,12.0,12,0.81,0.0002473339845892042,1.032823920249939,0.01843343675136566,,,,,,dqn,cartpole,dense,0.001,0.99,6,
62,12.0,12,0.8068333333333333,0.0006487811915576458,1.0383124351501465,0.024436991661787033,,,,,,dqn,cartpole,dense,0.001,0.99,6,
63,11.0,11,0.8036666666666666,0.0002923286519944668,1.036356806755066,0.017805548384785652,,,,,,dqn,cartpole,dense,0.001,0.99,6,
64,12.0,12,0.8005,0.0007978766225278378,1.0395203828811646,0.02354266867041588,,,,,,dqn,cartpole,dense,0.001,0.99,6,
