episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,0.0,24,1.0,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
2,0.0,15,0.9968333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
3,0.0,11,0.9936666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
4,0.0,33,0.9905,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
5,0.0,9,0.9873333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
6,0.0,26,0.9841666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
7,0.0,14,0.981,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
8,0.0,13,0.9778333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
9,0.0,13,0.9746666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
10,0.0,31,0.9715,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
11,0.0,40,0.9683333333333334,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
12,0.0,26,0.9651666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
13,0.0,38,0.962,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
14,0.0,36,0.9588333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
15,0.0,11,0.9556666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
16,0.0,39,0.9525,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
17,0.0,20,0.9493333333333334,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
18,0.0,14,0.9461666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
19,0.0,10,0.9430000000000001,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
20,0.0,13,0.9398333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
21,0.0,53,0.9366666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
22,0.0,16,0.9335,0.5914804339408875,2.0994904041290283,0.9641715288162231,3.450385093688965,13.900188446044922,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
23,0.0,17,0.9303333333333333,0.13636963069438934,0.4453590512275696,0.35182255506515503,0.7218924164772034,0.944945216178894,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
24,0.0,51,0.9271666666666667,0.6925770044326782,0.1462882161140442,0.8459157943725586,2.1565051078796387,8.210597038269043,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
25,0.0,18,0.924,1.2069896459579468,0.23981499671936035,1.403408408164978,3.254124641418457,13.456609725952148,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
26,0.0,14,0.9208333333333334,0.8916411399841309,0.39898446202278137,1.0625208616256714,2.8545923233032227,11.421812057495117,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
27,0.0,16,0.9176666666666666,1.0820212364196777,1.1914719343185425,1.2816953659057617,4.053982257843018,17.588396072387695,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
28,0.0,14,0.9145,0.5180574059486389,0.6918052434921265,0.6491906046867371,2.7868311405181885,11.155403137207031,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
29,0.0,13,0.9113333333333333,0.6022763252258301,0.7709571123123169,0.7028309106826782,3.298588275909424,13.702693939208984,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
30,0.0,13,0.9081666666666667,0.24322734773159027,0.6436532735824585,0.34076744318008423,1.242625117301941,3.3975329399108887,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
31,0.0,30,0.905,0.15422889590263367,0.36549586057662964,0.28738635778427124,1.537873387336731,4.892215728759766,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
32,0.0,20,0.9018333333333334,0.12648853659629822,0.5271598100662231,0.21470963954925537,1.4268778562545776,4.387103080749512,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
33,0.0,17,0.8986666666666667,0.7225671410560608,0.7039040923118591,0.856893002986908,3.401419162750244,14.298680305480957,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
34,0.0,25,0.8955,1.0746241807937622,2.5302157402038574,1.1840157508850098,5.873790740966797,26.54151725769043,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
35,0.0,14,0.8923333333333333,0.1086665466427803,0.4118696451187134,0.21702292561531067,1.1579489707946777,2.9538488388061523,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
36,0.0,31,0.8891666666666667,0.509511411190033,1.3609861135482788,0.614594578742981,4.352400779724121,18.997230529785156,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
37,0.0,17,0.886,0.3007252514362335,1.2223012447357178,0.3858792185783386,2.2273194789886475,8.3479585647583,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
38,0.0,21,0.8828333333333334,0.014821304939687252,0.6320260167121887,0.13116642832756042,1.5269497632980347,4.857237339019775,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
39,0.0,27,0.8796666666666667,0.5684444904327393,1.5493112802505493,0.7008575797080994,4.482237339019775,19.66705322265625,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
40,0.0,21,0.8765000000000001,0.051783591508865356,0.07998499274253845,0.16143721342086792,0.9761541485786438,2.102693796157837,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
41,0.0,19,0.8733333333333333,0.7807590365409851,0.6858070492744446,0.85541170835495,3.366062641143799,14.25950813293457,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
42,0.0,12,0.8701666666666666,0.5829660296440125,0.7035400867462158,0.6739988327026367,2.6190412044525146,10.35297966003418,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
43,0.0,52,0.867,1.0091452598571777,0.98308265209198,1.104447603225708,4.408445358276367,19.28719711303711,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
44,0.0,14,0.8638333333333333,0.4109231233596802,1.331179141998291,0.5783499479293823,2.720095634460449,10.871357917785645,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
45,0.0,14,0.8606666666666667,0.4798685312271118,1.4797524213790894,0.5880963802337646,2.60170316696167,10.234066009521484,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
46,0.0,16,0.8575,1.699486494064331,3.153289318084717,1.9335778951644897,9.864425659179688,46.590843200683594,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
47,0.0,20,0.8543333333333334,0.3834236264228821,1.2857202291488647,0.5823673605918884,4.143102645874023,17.92816925048828,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
48,0.0,13,0.8511666666666666,0.2071763575077057,1.9556151628494263,0.36035746335983276,4.0249128341674805,17.423524856567383,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
49,0.0,11,0.848,1.6036816835403442,3.5470075607299805,1.8379571437835693,8.524534225463867,39.788455963134766,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
50,0.0,13,0.8448333333333333,0.9266502857208252,1.5139250755310059,1.2045317888259888,4.714966773986816,20.776611328125,0.0,0.0,9.4,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
51,0.0,15,0.8416666666666667,1.189744234085083,3.7949233055114746,1.3919440507888794,10.196545600891113,48.19162368774414,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
52,0.0,15,0.8385,0.6724417209625244,1.630200982093811,0.7944217920303345,4.108018398284912,17.76235580444336,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
53,0.0,15,0.8353333333333334,0.6614277958869934,1.2869237661361694,0.9328818321228027,4.130530834197998,17.879812240600586,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
54,0.0,11,0.8321666666666667,0.6959710121154785,2.216864824295044,0.9681711196899414,6.094869136810303,27.70135498046875,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
55,0.0,19,0.829,0.2662108540534973,2.159043073654175,0.4589741826057434,4.911125183105469,21.768381118774414,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
56,0.0,20,0.8258333333333334,0.4771836996078491,1.5597528219223022,0.762945294380188,2.1546554565429688,8.008505821228027,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
57,0.0,21,0.8226666666666667,0.16103243827819824,0.9320523142814636,0.2871926426887512,2.2198641300201416,8.400517463684082,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
58,0.0,13,0.8195,0.566830575466156,2.8142611980438232,0.7249652743339539,7.069632053375244,32.64307403564453,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
59,0.0,21,0.8163333333333334,0.38069629669189453,2.348313808441162,0.5768112540245056,4.579975605010986,20.244464874267578,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
60,0.0,63,0.8131666666666667,0.3314792513847351,1.6616613864898682,0.43210113048553467,3.458864688873291,14.553062438964844,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
61,0.0,26,0.81,1.7386236190795898,4.970074653625488,1.989949107170105,7.366883277893066,34.07594680786133,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
62,0.0,13,0.8068333333333333,0.2954917550086975,0.9074394702911377,0.42436397075653076,1.760257363319397,6.055249214172363,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
63,0.0,13,0.8036666666666666,1.1667017936706543,3.968275308609009,1.4334053993225098,9.55009937286377,45.00691604614258,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
64,0.0,18,0.8005,0.3964187502861023,1.177956461906433,0.6387144923210144,2.49525785446167,9.697134017944336,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
65,0.0,13,0.7973333333333333,0.507213294506073,1.8617494106292725,0.6565032601356506,3.7046234607696533,15.68542194366455,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
66,0.0,14,0.7941666666666667,0.3776645064353943,4.89662504196167,0.5365533232688904,10.317440032958984,48.805870056152344,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
67,0.0,13,0.791,0.08536061644554138,0.5572395920753479,0.28975018858909607,1.8783819675445557,6.619866371154785,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
68,0.0,20,0.7878333333333334,0.07675497978925705,1.3000965118408203,0.20977957546710968,3.094355583190918,12.701030731201172,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
69,0.0,40,0.7846666666666666,0.4275447726249695,2.229687213897705,0.6004974842071533,3.970404863357544,17.031749725341797,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
70,0.0,12,0.7815,0.2616954743862152,1.609825849533081,0.42052212357521057,3.2450852394104004,13.333078384399414,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
71,0.0,13,0.7783333333333333,0.5963467955589294,5.484078884124756,0.7439830303192139,11.324830055236816,53.85459518432617,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
72,0.0,16,0.7751666666666667,0.5697550773620605,2.8690621852874756,0.7461681365966797,5.403799533843994,24.213653564453125,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
73,0.0,19,0.772,0.21966180205345154,0.7065380811691284,0.4494556188583374,2.5200681686401367,9.831687927246094,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
74,0.0,50,0.7688333333333334,0.47289422154426575,2.2066056728363037,0.6510924100875854,5.211627006530762,23.291311264038086,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
75,0.0,30,0.7656666666666667,1.1185189485549927,1.4903788566589355,1.4025797843933105,5.285744667053223,23.653636932373047,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
76,0.0,13,0.7625,0.6145158410072327,2.841895580291748,0.8075992465019226,4.771665096282959,21.07610511779785,,,,dqn_icm,cartpole,sparse,0.1,0.9,0,0.1
