seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,env_reward,alpha
0,DQN_Entropy,0.001,0.99,9.469999313354492,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1130.559625779,cartpole,dense,cartpole_dense,0.05
1,DQN_Entropy,0.001,0.99,9.329999923706056,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.329999923706056,1122.4638311159997,cartpole,dense,cartpole_dense,0.05
2,DQN_Entropy,0.001,0.99,10.949999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.949999809265137,272.12099084099464,cartpole,dense,cartpole_dense,0.05
3,DQN_Entropy,0.001,0.99,9.40999984741211,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.40999984741211,256.9617994430009,cartpole,dense,cartpole_dense,0.05
4,DQN_Entropy,0.001,0.99,11.199999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,11.199999809265137,256.81522831099574,cartpole,dense,cartpole_dense,0.05
5,DQN_Entropy,0.001,0.99,10.119999885559082,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.119999885559082,265.1340204480075,cartpole,dense,cartpole_dense,0.05
6,DQN_Entropy,0.001,0.99,9.300000190734863,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.300000190734863,268.74319977799314,cartpole,dense,cartpole_dense,0.05
7,DQN_Entropy,0.001,0.99,25.920000076293945,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,25.920000076293945,268.4264422569977,cartpole,dense,cartpole_dense,0.05
8,DQN_Entropy,0.001,0.99,9.859999656677246,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.859999656677246,268.03197512900806,cartpole,dense,cartpole_dense,0.05
9,DQN_Entropy,0.001,0.99,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,267.539918591996,cartpole,dense,cartpole_dense,0.05
0,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1362.373312674,cartpole,dense,cartpole_dense,0.01
1,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1380.4406876250005,cartpole,dense,cartpole_dense,0.01
