seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type
3,PPO,0.0001,0.99,0.9899999499320984,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,36.189998626708984,653.3764863999677,cartpole,sparse
4,PPO,0.0001,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.40999984741211,653.7535667999764,cartpole,sparse
0,PPO,0.0001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.15999984741211,651.9078206000268,cartpole,sparse
1,PPO,0.0001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.170000076293945,654.1289644999779,cartpole,sparse
2,PPO,0.0001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.260000228881836,654.5801101999823,cartpole,sparse
3,PPO,0.0001,0.95,0.9799999594688416,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,31.809999465942383,654.2853749999776,cartpole,sparse
4,PPO,0.0001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.40999984741211,655.9935656000162,cartpole,sparse
0,PPO,0.0005,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.15999984741211,654.2901218000334,cartpole,sparse
1,PPO,0.0005,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.170000076293945,666.8384332000278,cartpole,sparse
2,PPO,0.0005,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.260000228881836,659.9508846999961,cartpole,sparse
3,PPO,0.0005,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.269999504089355,661.0918551000068,cartpole,sparse
4,PPO,0.0005,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.40999984741211,660.1206814000034,cartpole,sparse
0,PPO,0.0005,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.15999984741211,666.1900566000259,cartpole,sparse
1,PPO,0.0005,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.170000076293945,675.9939865999622,cartpole,sparse
2,PPO,0.0005,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.260000228881836,662.172122900025,cartpole,sparse
3,PPO,0.0005,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.269999504089355,662.6559083000175,cartpole,sparse
