seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,env_reward,beta
8,DQN_RND,0.0005,0.99,9.460000038146973,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.460000038146973,392.860323091998,cartpole,dense,cartpole_dense,0.1
9,DQN_RND,0.0005,0.99,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,392.6959730629969,cartpole,dense,cartpole_dense,0.1
0,DQN_RND,0.0005,0.99,9.359999656677246,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.359999656677246,435.3084102099965,cartpole,dense,cartpole_dense,1.0
1,DQN_RND,0.0005,0.99,9.329999923706056,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.329999923706056,434.6918251690004,cartpole,dense,cartpole_dense,1.0
2,DQN_RND,0.0005,0.99,9.519999504089355,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.519999504089355,410.4241932320001,cartpole,dense,cartpole_dense,1.0
3,DQN_RND,0.0005,0.99,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,408.2651805900023,cartpole,dense,cartpole_dense,1.0
4,DQN_RND,0.0005,0.99,9.34999942779541,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.34999942779541,398.1280924680032,cartpole,dense,cartpole_dense,1.0
5,DQN_RND,0.0005,0.99,9.380000114440918,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.380000114440918,396.2923207369968,cartpole,dense,cartpole_dense,1.0
6,DQN_RND,0.0005,0.99,9.420000076293944,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.420000076293944,387.385421207,cartpole,dense,cartpole_dense,1.0
7,DQN_RND,0.0005,0.99,9.449999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.449999809265137,387.3655013789976,cartpole,dense,cartpole_dense,1.0
8,DQN_RND,0.0005,0.99,9.460000038146973,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.460000038146973,399.0035260500008,cartpole,dense,cartpole_dense,1.0
